CLASSIFIER;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
test gv;0.889;0.889;0.889;0.031;9;1.000;1.000;1.000;0.031;8
E-Shop, magister2014;0.389;0.444;0.407;0.018;9;0.875;1.000;0.917;0.018;4
E-shop;0.849;0.667;0.702;0.014;9;0.955;0.750;0.790;0.014;8
UPL;0.736;0.679;0.705;0.009;9;0.946;0.873;0.907;0.009;7
Hello World;0.609;0.610;0.609;0.034;9;0.783;0.784;0.783;0.034;7
Weather Station;0.444;0.414;0.413;0.021;9;0.800;0.745;0.743;0.021;5
LXEP;0.333;0.333;0.333;0.002;9;1.000;1.000;1.000;0.002;3
Xor Example;0.778;0.644;0.694;0.020;9;1.000;0.829;0.893;0.020;7
Implementacion;0.444;0.349;0.384;0.003;9;1.000;0.786;0.864;0.003;4
ordem;0.852;0.702;0.729;0.027;9;0.958;0.790;0.820;0.027;8
ID;0.333;0.333;0.333;0.000;9;1.000;1.000;1.000;0.000;3
Observatorio;0.333;0.333;0.333;0.004;9;1.000;1.000;1.000;0.004;3
eshop;0.639;0.568;0.591;0.009;9;0.958;0.852;0.887;0.009;6
AA;0.743;0.597;0.626;0.016;9;0.955;0.768;0.805;0.016;7
E-SHOP;0.422;0.444;0.432;0.008;9;0.950;1.000;0.972;0.008;4
Example Product Line Course Using SPLOT;0.528;0.460;0.487;0.014;9;0.950;0.829;0.876;0.014;5
AvionFEatures;0.528;0.528;0.528;0.012;9;0.950;0.950;0.950;0.012;5
search engine;0.475;0.542;0.499;0.008;9;0.856;0.975;0.898;0.008;5
NovoSiga;0.519;0.533;0.525;0.010;9;0.933;0.960;0.945;0.010;5
Disenio;0.444;0.417;0.429;0.004;9;1.000;0.938;0.964;0.004;4
CIMS PL;0.333;0.333;0.333;0.001;9;1.000;1.000;1.000;0.001;3
testing;0.903;1.000;0.916;0.125;9;0.903;1.000;0.916;0.125;9
Address Book;0.904;0.924;0.872;0.018;9;0.904;0.924;0.872;0.018;9
VODPlayer;0.617;0.778;0.679;0.047;9;0.694;0.875;0.763;0.047;8
isolation;0.444;0.444;0.444;0.003;9;1.000;1.000;1.000;0.003;4
Jogo;0.611;0.611;0.611;0.001;18;1.000;1.000;1.000;0.001;11
desordem;0.864;0.694;0.730;0.027;9;0.972;0.781;0.821;0.027;8
1;0.736;0.778;0.756;0.007;9;0.946;1.000;0.971;0.007;7
Mobile Phone GF;0.444;0.444;0.444;0.014;9;1.000;1.000;1.000;0.014;4
rtrt;0.889;0.778;0.802;0.020;9;1.000;0.875;0.903;0.020;8
Sylvain Example;0.576;0.509;0.529;0.004;18;0.943;0.833;0.865;0.004;11
MK Andes;0.667;0.667;0.667;0.004;9;1.000;1.000;1.000;0.004;6
Computer Selection;0.444;0.444;0.444;0.002;9;1.000;1.000;1.000;0.002;4
HandlingSystem;0.333;0.333;0.333;0.000;9;1.000;1.000;1.000;0.000;3
Modelo;0.333;0.333;0.333;0.004;9;1.000;1.000;1.000;0.004;3
JCS;0.660;0.630;0.631;0.023;9;0.849;0.810;0.812;0.023;7
MyFeatureModel;0.736;0.733;0.728;0.017;9;0.946;0.943;0.936;0.017;7
Mobile Game;0.890;0.951;0.886;0.132;9;0.890;0.951;0.886;0.132;9
votacao eletronica;0.639;0.667;0.652;0.007;9;0.958;1.000;0.978;0.007;6
Online Shop Feature Model;0.431;0.370;0.387;0.010;9;0.969;0.833;0.871;0.010;4
Website;0.954;0.901;0.909;0.031;9;0.954;0.901;0.909;0.031;9
Mobile Tourist Planner;0.444;0.460;0.432;0.027;9;0.800;0.829;0.778;0.027;5
VOD feature model;0.778;0.778;0.778;0.016;9;1.000;1.000;1.000;0.016;7
Mauricio Alférez;0.667;0.622;0.642;0.005;9;1.000;0.933;0.963;0.005;6
Asghar;0.747;0.733;0.739;0.016;9;0.960;0.942;0.950;0.016;7
Minimalistic PC Feature Model;0.333;0.333;0.333;0.004;9;1.000;1.000;1.000;0.004;3
MobileMedia;0.733;0.735;0.729;0.028;18;0.880;0.883;0.874;0.028;15
Rotary_Element;0.667;0.444;0.511;0.012;9;1.000;0.667;0.767;0.012;6
IntelligentTutoringSystem;0.889;0.799;0.813;0.021;9;1.000;0.899;0.915;0.021;8
Multiplicador de n matrices;0.333;0.333;0.333;0.004;9;1.000;1.000;1.000;0.004;3
ETRobocon;0.905;0.999;0.924;0.059;9;0.905;0.999;0.924;0.059;9
Telecommunication_System;0.511;0.420;0.442;0.004;9;0.919;0.756;0.796;0.004;5
a;0.757;0.677;0.704;0.010;9;0.973;0.871;0.905;0.010;7
Content model;0.865;0.783;0.794;0.022;9;0.973;0.880;0.894;0.022;8
AllSports Feature Model;0.833;0.769;0.785;0.023;9;0.938;0.865;0.883;0.023;8
Movil;0.722;0.548;0.601;0.007;9;0.929;0.704;0.773;0.007;7
asdsfa ewtwwe;0.483;0.556;0.512;0.006;9;0.870;1.000;0.921;0.006;5
ZMUConcernExample;0.639;0.625;0.631;0.004;9;0.958;0.938;0.947;0.004;6
aaaaaa;0.778;0.778;0.778;0.008;9;1.000;1.000;1.000;0.008;7
Feature Tree Example;0.444;0.444;0.444;0.008;9;1.000;1.000;1.000;0.008;4
FeatureModelName;0.389;0.444;0.407;0.002;9;0.875;1.000;0.917;0.002;4
Dental Surgery;0.444;0.444;0.444;0.002;9;1.000;1.000;1.000;0.002;4
E-portal;0.778;0.778;0.778;0.008;9;1.000;1.000;1.000;0.008;7
disenio II;0.889;0.763;0.780;0.029;9;1.000;0.858;0.878;0.029;8
Mobile Phone UPT;0.444;0.444;0.444;0.014;9;1.000;1.000;1.000;0.014;4
Test1;0.444;0.444;0.444;0.008;9;1.000;1.000;1.000;0.008;4
carpl;0.444;0.444;0.444;0.002;9;1.000;1.000;1.000;0.002;4
r;0.436;0.397;0.412;0.041;9;0.981;0.893;0.926;0.041;4
Nudelsalat;0.524;0.556;0.538;0.012;9;0.786;0.833;0.808;0.012;6
FeatureModel1;0.778;0.778;0.778;0.016;9;1.000;1.000;1.000;0.016;7
poker spl;0.548;0.556;0.541;0.010;9;0.704;0.714;0.696;0.010;7
Simnumero;0.444;0.403;0.419;0.008;9;1.000;0.906;0.942;0.008;4
abcdefg;0.417;0.444;0.429;0.006;9;0.938;1.000;0.964;0.006;4
Mobile-Phone;0.528;0.460;0.487;0.014;9;0.950;0.829;0.876;0.014;5
WebApp;0.908;0.978;0.910;0.156;9;0.908;0.978;0.910;0.156;9
Loja Virtual;0.897;0.819;0.831;0.027;9;0.897;0.819;0.831;0.027;9
This is a test;0.636;0.677;0.650;0.032;9;0.716;0.761;0.731;0.032;8
hhhhhhh;0.389;0.444;0.407;0.004;9;0.875;1.000;0.917;0.004;4
eLearning ways;0.902;0.940;0.881;0.097;9;0.902;0.940;0.881;0.097;9
Matrix chain multiplication;0.444;0.333;0.358;0.007;9;1.000;0.750;0.806;0.007;4
Phone sple;0.754;0.724;0.735;0.026;9;0.969;0.931;0.945;0.026;7
Final model;0.444;0.444;0.444;0.003;9;1.000;1.000;1.000;0.003;4
Manuel;0.639;0.630;0.634;0.009;9;0.958;0.944;0.951;0.009;6
FM with optional XOR;0.764;0.704;0.730;0.005;9;0.982;0.905;0.939;0.005;7
SmartHome- Simplified Sample;0.667;0.622;0.642;0.005;9;1.000;0.933;0.963;0.005;6
Mobile phone (lenita);0.528;0.460;0.487;0.014;9;0.950;0.829;0.876;0.014;5
SmartHome_vConejero_r1;0.444;0.444;0.444;0.001;9;1.000;1.000;1.000;0.001;4
Reservation;0.444;0.444;0.444;0.002;9;1.000;1.000;1.000;0.002;4
test 3;0.746;0.701;0.721;0.031;9;0.959;0.902;0.927;0.031;7
27-5-207 test;0.444;0.475;0.447;0.021;9;0.800;0.855;0.804;0.021;5
tab;0.333;0.333;0.333;0.004;9;1.000;1.000;1.000;0.004;3
Congress Assistant;0.724;0.667;0.685;0.012;9;0.814;0.750;0.770;0.012;8
Test;0.486;0.410;0.426;0.010;18;0.972;0.819;0.853;0.010;9
mon model;0.333;0.333;0.333;0.006;9;1.000;1.000;1.000;0.006;3
Xor Example 2;0.889;0.765;0.786;0.035;9;1.000;0.861;0.884;0.035;8
TEST_NAme;0.873;0.753;0.772;0.035;9;0.982;0.847;0.869;0.035;8
ABMS;0.900;0.925;0.864;0.060;9;0.900;0.925;0.864;0.060;9
Text Editor;0.444;0.444;0.444;0.003;9;1.000;1.000;1.000;0.003;4
XOR NEW;0.889;0.798;0.820;0.043;9;1.000;0.898;0.923;0.043;8
SimpleModel;0.333;0.333;0.333;0.012;9;1.000;1.000;1.000;0.012;3
Ubuntu;0.333;0.333;0.333;0.006;9;1.000;1.000;1.000;0.006;3
Prontuário Eletrônico de Pacientes;0.778;0.733;0.753;0.010;9;1.000;0.943;0.968;0.010;7
mo;0.965;0.820;0.840;0.029;9;0.965;0.820;0.840;0.029;9
test_fm;0.667;0.667;0.667;0.002;9;1.000;1.000;1.000;0.002;6
JDFM;0.422;0.356;0.369;0.010;9;0.950;0.800;0.830;0.010;4
Bandymas;0.861;0.790;0.784;0.018;9;0.969;0.889;0.882;0.018;8
Attempt of mine;0.884;0.838;0.842;0.032;9;0.884;0.838;0.842;0.032;9
ubuntu;0.472;0.481;0.473;0.009;9;0.850;0.867;0.851;0.009;5
Rotation1;0.667;0.622;0.642;0.005;9;1.000;0.933;0.963;0.005;6
Imolementacion II;0.417;0.444;0.429;0.001;9;0.938;1.000;0.964;0.001;4
Topology;0.333;0.333;0.333;0.004;9;1.000;1.000;1.000;0.004;3
Cellphone;0.395;0.373;0.382;0.007;9;0.889;0.839;0.859;0.007;4
TW SPL Hard Choices;0.667;0.667;0.667;0.001;9;1.000;1.000;1.000;0.001;6
Mobile Media v3;0.444;0.444;0.444;0.001;9;1.000;1.000;1.000;0.001;4
drupal sawsen;0.667;0.667;0.667;0.008;9;1.000;1.000;1.000;0.008;6
Example Mobile Phone;0.528;0.460;0.487;0.014;9;0.950;0.829;0.876;0.014;5
Basic Car;0.778;0.778;0.778;0.008;9;1.000;1.000;1.000;0.008;7
SPL Studies;0.497;0.392;0.413;0.061;9;0.894;0.706;0.744;0.061;5
testISA2012;0.528;0.460;0.487;0.014;9;0.950;0.829;0.876;0.014;5
Match engine;0.778;0.778;0.778;0.016;9;1.000;1.000;1.000;0.016;7
Cell-Phone-SPL-2014-without;0.407;0.370;0.383;0.047;9;0.917;0.833;0.861;0.047;4
Car;0.517;0.509;0.503;0.015;18;0.930;0.917;0.906;0.015;10
Content;0.736;0.647;0.665;0.017;18;0.946;0.832;0.855;0.017;14
mobile phone;0.500;0.517;0.503;0.025;9;0.750;0.776;0.755;0.025;6
MyFM;0.444;0.398;0.415;0.019;9;1.000;0.895;0.933;0.019;4
M-learning Requirements Catalog;0.895;0.950;0.871;0.034;9;0.895;0.950;0.871;0.034;9
Pruebas;0.556;0.365;0.422;0.002;9;1.000;0.657;0.760;0.002;5
Assistente de Compras;0.500;0.481;0.489;0.012;9;0.900;0.867;0.880;0.012;5
Mobile Phone;0.523;0.492;0.505;0.014;18;0.942;0.886;0.908;0.014;10
SAL;0.389;0.370;0.378;0.012;9;0.875;0.833;0.850;0.012;4
Doorlopende reisverzekering;0.938;0.901;0.908;0.016;9;0.938;0.901;0.908;0.016;9
Guad gmocht!;0.749;0.778;0.762;0.020;9;0.963;1.000;0.980;0.020;7
ROOT;0.889;0.815;0.833;0.047;9;1.000;0.917;0.938;0.047;8
UPT_RM_MOBILE;0.528;0.476;0.497;0.014;9;0.950;0.857;0.894;0.014;5
WB2;0.838;0.790;0.800;0.049;9;0.838;0.790;0.800;0.049;9
Mobile Phone UPT - 18413;0.444;0.444;0.444;0.014;9;1.000;1.000;1.000;0.014;4
SPL_e_commerce;0.468;0.508;0.478;0.027;9;0.843;0.914;0.861;0.027;5
Dummy Car;0.444;0.370;0.389;0.002;9;1.000;0.833;0.875;0.002;4
Adams Car;0.333;0.333;0.333;0.007;9;1.000;1.000;1.000;0.007;3
Analisis;0.417;0.444;0.429;0.003;9;0.938;1.000;0.964;0.003;4
anlisis II;0.759;0.698;0.722;0.027;9;0.976;0.898;0.928;0.027;7
Autosoft;0.759;0.746;0.718;0.087;18;0.854;0.839;0.807;0.091;16
PC model;0.605;0.494;0.498;0.009;9;0.907;0.741;0.747;0.009;6
ESCA Embeeded System;0.333;0.333;0.333;0.005;9;1.000;1.000;1.000;0.005;3
Telefono;0.444;0.381;0.400;0.007;9;1.000;0.857;0.900;0.007;4
Phone;0.889;0.802;0.821;0.045;9;1.000;0.902;0.924;0.045;8
celular;0.444;0.444;0.444;0.011;9;1.000;1.000;1.000;0.011;4
Match de foot;0.778;0.778;0.778;0.008;9;1.000;1.000;1.000;0.008;7
CarExample;0.444;0.333;0.367;0.001;9;1.000;0.750;0.825;0.001;4
Ooredoo;0.436;0.407;0.419;0.004;9;0.785;0.733;0.755;0.004;5
Eval_board;0.333;0.333;0.333;0.002;9;1.000;1.000;1.000;0.002;3
Sample;0.500;0.556;0.519;0.031;9;0.900;1.000;0.933;0.031;5
rotation;0.444;0.444;0.444;0.001;9;1.000;1.000;1.000;0.001;4
collapse_view_example;0.542;0.351;0.375;0.015;9;0.975;0.632;0.674;0.015;5
Sisgeo;0.898;0.998;0.905;0.063;9;0.898;0.998;0.905;0.063;9
gs;0.444;0.365;0.383;0.041;9;1.000;0.821;0.861;0.041;4
HDMR-Paper;0.444;0.444;0.444;0.002;9;1.000;1.000;1.000;0.002;4
jjjjj;0.472;0.481;0.473;0.018;9;0.708;0.722;0.710;0.018;6
Modelo de Característica para Entidades Urbanas;0.922;1.000;0.940;0.250;9;0.922;1.000;0.940;0.250;9
acarlos_trab2_mobile;0.444;0.444;0.444;0.014;9;1.000;1.000;1.000;0.014;4
Telefonia Celular;0.774;0.676;0.705;0.035;9;0.995;0.869;0.906;0.035;7
Ökonomische Merkmale;0.833;0.769;0.785;0.023;9;0.938;0.865;0.883;0.023;8
erewr;0.556;0.444;0.466;0.012;9;1.000;0.800;0.839;0.012;5
Webshop_SPLE2014_Chalmers;0.639;0.583;0.602;0.004;9;0.958;0.875;0.903;0.004;6
E-commerce system1;0.444;0.407;0.422;0.001;9;1.000;0.917;0.950;0.001;4
Eshop-ufrj;0.493;0.514;0.491;0.012;9;0.888;0.925;0.883;0.012;5
